Date,HEDG,HEDG_CVARB,HEDG_EMMKT,HEDG_EQNTR,HEDG_EVDRV,HEDG_DISTR,HEDG_MSEVD,HEDG_MRARB,HEDG_FIARB,HEDG_GLMAC,HEDG_LOSHO,HEDG_MGFUT,HEDG_MULTI
1994-04-30,-0.020209627708798476,-0.028179425692295212,-0.08995879686400592,-0.00015958826262217358,-0.00927834477009629,-0.009781793403797947,-0.008372775457318512,-0.01230284551301477,-0.004658471131882398,-0.01868422953840657,-0.018379428926445517,0.005906762199278494,0.02281632751182175
1994-05-31,0.018909941636758465,-0.013397425608424203,-0.010471824530533705,-0.004245654588105854,-0.004646175270339941,-0.011580527965174425,0.003731254795359214,-0.0006481689454857038,0.004723909234622348,0.03415073559962408,0.0025387673242248596,0.0044262163522452765,-0.03846139427164042
1994-06-30,-0.011208249747116976,-0.0009774684347818655,0.0016137229692034841,0.003900347219497153,-0.004376112249976055,-0.01262067936045937,0.005190477900104608,-0.001276884575548588,-0.007083287914466807,-0.01231784788386053,-0.02644625284016819,0.03758671520196173,0.03238839775864107
1994-07-31,0.0006978019522546502,-0.0013970663882937793,0.0536787596259778,-0.012846423155502638,0.0025893849743367,0.015043830826329829,-0.012442464353806637,0.002887729166296521,-0.004597709248629397,-0.0063022266312887775,0.010021416408613155,-0.012947438358376542,-0.025348491772512676
1994-08-31,0.02365005028259442,-0.004073325387635681,0.14836091048920222,-0.013622576219964093,0.004493317300097411,0.01652146191922326,-0.010899290458035574,0.013085538448658634,-0.004573650609460146,0.023455422021956704,0.012593727097575948,-0.006376896940610813,-0.03660974561256084
1994-09-30,0.0031140120773019103,-0.015535014457158545,0.047129471639579576,-0.013008101503938276,0.00390837216276247,0.0074752044392778615,-0.00036875177941929783,0.00022915556275767595,0.0034119710604865517,-0.0010667624773514407,-0.0010667624773514407,0.016533059023183812,-0.00998421047886128
1994-10-31,-0.01736482727196513,-0.017466200884500727,-0.03950368370829711,-0.007479735683824673,-0.011099649138959016,-0.007279013081785751,-0.016452926909872642,-0.0017748710898251026,0.005087754679698306,-0.02622300259009003,-0.0010765122047556273,0.007958049123200538,0.012002045362864078
1994-11-30,0.000318744150755397,-0.005474320392255731,-0.018074658463357804,-0.006777382772796885,-0.014429453941027048,-0.028065566321542747,0.0013141652960590488,0.002308596563369793,0.003103430186933903,0.016911717440334442,-0.032686883917140405,0.01259248033376607,-0.03134964152273265
1994-12-31,-0.006502512536352451,-0.02378701824467235,-0.0474121950377733,0.008219726911619946,-0.012230883559670818,-0.010720233189301601,-0.014450640297983704,-0.0018036785972163388,0.0012835120238154562,0.000587237066556715,-0.007906443773769842,-0.023481192257274207,0.014323309553620257
1995-01-31,-0.024087836332924696,-0.010410504432384886,-0.1093295227417728,0.0004977848676634171,0.0008958344300891569,0.00019914368282480163,-0.0014948430707255192,0.011780564891230614,-0.0014948430707255192,-0.029201367622635813,-0.011618720447264638,-0.0049915247892372075,0.019622973480786836
1995-02-28,0.0005078442122798763,0.007748861815126574,-0.08606017209617903,0.005374033863452904,0.01983211703868276,0.0245082093390553,0.015428332459251261,0.014643403062592694,0.0024969050371369487,-0.0032823059462988597,0.025965015307379973,-0.016763395425305277,-0.0016847020118886664
1995-03-31,0.02961871899592973,0.00852418681157598,-0.061265629527364085,0.02419234909164472,0.0038746260783221395,0.02419234909164472,-0.01696572340186263,0.0016907856233432323,-0.008999160822507297,0.053302026081970454,0.0034779187439515687,0.08579954739387352,0.013839683134559919
1995-04-30,0.01003540100677,0.018183485157932097,0.06563189254307265,0.018085709552867656,0.016422059905566073,0.02306011629902988,0.019746596066270765,-0.008870634754848356,0.015638207229726784,0.004698365211383808,0.009147870747829964,-0.00766593628568882,0.012496637789460467
1995-05-31,0.004783226180501649,0.01109924441376444,0.008044904387172626,-0.0011744917692462315,0.005970522253487979,0.014144283847323597,-0.0004775929407026952,0.0008153606433681645,0.014634552033836384,0.004585206377874413,0.014830592026622607,-0.053406485000434774,-0.01784489187935986
1995-06-30,-0.0009161887192819535,0.014212393683688106,0.0031603767074611334,0.010476276861141394,0.008306864709646668,0.018423338553673223,-0.005309605671292986,0.01587930587041604,0.0005771661304005936,-0.011432585905025097,0.029888679850667794,-0.06372262504940614,0.013230557571431455
1995-07-31,0.022636533919784305,0.0039737783266805896,0.017367715018234912,0.0008954778967625214,0.0176611566010125,0.0333804789178214,0.0024854613381547607,0.01089011851457915,0.006548292076648797,0.017563352307326058,0.04562826382681029,0.02545466901456942,-0.011010020136729918
1995-08-31,0.0536794557901686,0.0030810539704125162,0.005162839108871078,0.0021875319452164454,0.010693171197349758,0.0049647604710044875,0.02098082377772282,0.001392619343740245,0.0030810539704125162,0.09616045076633592,0.017758951329954545,-0.007794583282755559,0.005360878519360868
1995-09-30,-0.0005975500625965916,0.006747396109163167,0.014235115821871966,-0.010106655297402047,0.014136956312590706,0.010990753737009537,0.020789950229005472,0.006945161362452825,0.005955943752851413,-0.002392345638619796,0.006648498813923594,-0.10255459708852419,0.012860005105234818
1995-10-31,-0.005709966000932564,0.008208143153714782,-0.0628742686888753,-0.0018132732548983722,-0.007212746427014488,-0.01779592236107512,0.003953870103588253,-0.003010639193202487,0.006726149106846119,0.005340970296268532,-0.02297701791508449,-0.015265940745428447,-0.012843165484003102
1995-11-30,0.02672589801625356,0.018646029284289076,-0.035991517168265874,-0.0012954015064425843,0.007045427307519715,0.008527567789306561,0.0027844091179570858,0.012469236274639119,0.012469236274639119,0.0433600972397543,0.018450525862356522,-0.006894856192782876,0.02079404807544055
