Date,RF
1994-04-30,0.0026564684612093194
1994-05-31,0.0031450491440728496
1994-06-30,0.0030752665169279853
1994-07-31,0.002796087302001188
1994-08-31,0.0036732453662959904
1994-09-30,0.0035636426759385865
1994-10-31,0.0037728737524981605
1994-11-30,0.0037728737524981605
1994-12-31,0.004400304444482253
1995-01-31,0.004191204618468052
1995-02-28,0.003982061060572125
1995-03-31,0.004589452333807224
1995-04-30,0.004360479276962338
1995-05-31,0.005266109672499789
1995-06-30,0.00460936055689956
1995-07-31,0.004589452333807224
1995-08-31,0.004589452333807224
1995-09-30,0.004390348301292854
1995-10-31,0.00460936055689956
1995-11-30,0.004191204618468052
1995-12-31,0.004788516731797094
1996-01-31,0.004171288068810547
1996-02-29,0.003992021269537457
1996-03-31,0.003982061060572125
1996-04-30,0.00460936055689956
1996-05-31,0.004171288068810547
1996-06-30,0.003992021269537457
1996-07-31,0.004390348301292854
1996-08-31,0.004171288068810547
1996-09-30,0.004390348301292854
1996-10-31,0.004131453779448962
1996-11-30,0.003992021269537457
1996-12-31,0.00460936055689956
1997-01-31,0.004390348301292854
1997-02-28,0.0037927982386962624
1997-03-31,0.004191204618468052
1997-04-30,0.004390348301292854
1997-05-31,0.004818372973993123
1997-06-30,0.0037728737524981605
1997-07-31,0.004171288068810547
1997-08-31,0.004191204618468052
1997-09-30,0.004400304444482253
1997-10-31,0.004131453779448962
1997-11-30,0.003982061060572125
1997-12-31,0.00482832485664067
1998-01-31,0.004191204618468052
1998-02-28,0.003982061060572125
1998-03-31,0.003952179838427941
1998-04-30,0.004191204618468052
1998-05-31,0.003992021269537457
1998-06-30,0.004171288068810547
1998-07-31,0.003952179838427941
1998-08-31,0.004191204618468052
1998-09-30,0.00460936055689956
1998-10-31,0.0032945669494301114
1998-11-30,0.002995508979798371
1998-12-31,0.003733023589107398
1999-01-31,0.003603499589623571
1999-02-28,0.003603499589623571
1999-03-31,0.004131453779448962
1999-04-30,0.0037728737524981605
1999-05-31,0.003394233068015617
1999-06-30,0.003952179838427941
1999-07-31,0.0037728737524981605
1999-08-31,0.003952179838427941
1999-09-30,0.0037728737524981605
1999-10-31,0.0037728737524981605
1999-11-30,0.0035636426759385865
1999-12-31,0.004390348301292854
2000-01-31,0.004191204618468052
2000-02-29,0.004390348301292854
2000-03-31,0.004589452333807224
2000-04-30,0.00454963469857128
2000-05-31,0.005047241221513273
2000-06-30,0.003952179838427941
2000-07-31,0.004788516731797094
2000-08-31,0.005047241221513273
2000-09-30,0.004987541511038968
2000-10-31,0.005484930230569745
2000-11-30,0.005027341714025297
2000-12-31,0.004987541511038968
2001-01-31,0.005445148235895246
2001-02-28,0.0037927982386962624
2001-03-31,0.004171288068810547
2001-04-30,0.003992021269537457
2001-05-31,0.0032945669494301114
2001-06-30,0.002726280318282729
2001-07-31,0.0029356866520938107
2001-08-31,0.0029855388403660444
2001-09-30,0.002696361547742533
2001-10-31,0.0022973590486834584
2001-11-30,0.0016785903785550913
2001-12-31,0.0013990209137074087
2002-01-31,0.0014689206076750811
2002-02-28,0.0013291163334309662
2002-03-31,0.0013990209137074087
2002-04-30,0.0015388154160170385
2002-05-31,0.0015388154160170385
2002-06-30,0.001199280575482187
2002-07-31,0.0015388154160170385
2002-08-31,0.001319129565897799
2002-09-30,0.0013990209137074087
2002-10-31,0.001379048675118252
2002-11-30,0.001199280575482187
2002-12-31,0.0010494491355713738
2003-01-31,0.0010494491355713738
2003-02-28,0.0009495490355882012
2003-03-31,0.0010494491355713738
2003-04-30,0.0010494491355713738
2003-05-31,0.0008396473974435676
2003-06-30,0.0010494491355713738
2003-07-31,0.0006597822957846931
2003-08-31,0.0006298016333095459
2003-09-30,0.0008396473974435676
2003-10-31,0.0006897620594464428
2003-11-30,0.0007597113462420724
2003-12-31,0.0008796130270075069
2004-01-31,0.0005998200719675495
2004-02-29,0.0005698376117045814
2004-03-31,0.000919577059383732
2004-04-30,0.0008396473974435676
2004-05-31,0.0005998200719675495
2004-06-30,0.0008396473974435676
2004-07-31,0.0010494491355713738
2004-08-31,0.0010993954433010642
2004-09-30,0.0010494491355713738
2004-10-31,0.0010494491355713738
2004-11-30,0.0014689206076750811
2004-12-31,0.0015388154160170385
2005-01-31,0.0015987213636970735
2005-02-28,0.00170853961460243
2005-03-31,0.0021975835434872013
2005-04-30,0.00209779808214612
2005-05-31,0.002307336051691673
2005-06-30,0.0021975835434872013
2005-07-31,0.0023971245997214514
2005-08-31,0.0029855388403660444
2005-09-30,0.0029356866520938107
2005-10-31,0.002726280318282729
2005-11-30,0.0031450491440728496
2005-12-31,0.0031450491440728496
2006-01-31,0.003394233068015617
2006-02-28,0.0034141650997878445
2006-03-31,0.0036732453662959904
2006-04-30,0.003603499589623571
2006-05-31,0.004390348301292854
2006-06-30,0.003952179838427941
2006-07-31,0.003992021269537457
2006-08-31,0.004131453779448962
2006-09-30,0.003992021269537457
2006-10-31,0.003952179838427941
2006-11-30,0.004191204618468052
2006-12-31,0.003992021269537457
2007-01-31,0.004390348301292854
2007-02-28,0.0037927982386962624
2007-03-31,0.004171288068810547
2007-04-30,0.004390348301292854
2007-05-31,0.003952179838427941
2007-06-30,0.003982061060572125
2007-07-31,0.003982061060572125
2007-08-31,0.004131453779448962
2007-09-30,0.0032247947556145076
2007-10-31,0.0032148269019424513
2007-11-30,0.0033543678125736733
2007-12-31,0.002796087302001188
2008-01-31,0.00209779808214612
2008-02-29,0.0013990209137074087
2008-03-31,0.0017983819413793973
2008-04-30,0.0017584530148632416
2008-05-31,0.0016785903785550913
